Cluster,Age,Starts,PrgC,PrgP,PrgR,GA90,Save%,CS%,SoT%,Dist,Cmp
0,26.936363636363637,27.0,35.20909090909091,117.7,53.2,,,,26.081818181818182,16.97909090909091,1192.7181818181818
1,25.082901554404145,7.823834196891192,11.575129533678757,20.616580310880828,27.518134715025905,2.362,59.44666666666667,7.173333333333333,36.64787878787879,14.744242424242426,257.5284974093264
2,30.313432835820894,12.037313432835822,10.134328358208956,27.84328358208955,19.544776119402986,1.2640740740740741,70.75185185185185,34.574074074074076,18.42596153846154,20.01923076923077,408.0149253731343
3,25.838709677419356,25.838709677419356,89.96774193548387,82.03225806451613,187.6290322580645,,,,36.596774193548384,16.29193548387097,670.8387096774194
